Designator,Footprint,Quantity,Value,LCSC Part #
"C1401, C1402, C201, C202, C311, C312, C401, C402",0603,8,10u,C19702
"C1501, C1502, C1505, C1506, C1507, C1508, C1509, C1510, C1511, C1512, C203, C204, C207, C208, C209, C210, C211, C212, C213, C214, C301, C302, C303, C304, C305, C306, C309, C310",0402,28,100n,C1525
"C1503, C1504, C205, C206",0402,4,1u,C52923
"C307, C308",0805,2,18p,C1797
"D1001, D101, D1101, D1201, D601, D701, D801, D901",0603,8,white,C2290
"D103, D104, D301",0805,3,green,C2297
"D1501, D202",D_SOD-123,2,B5819W SL,C8598
D201,0805,1,blue,C189307
D203,0603,1,red,C2286
D302,Texas_USON-6_1x1.45mm_P0.5mm_SMD,1,PRTR5V0U2X,C2937001
J101,USB226BRW,1,USB-226-BRW,C720524
J301,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C165948
"R1001, R101, R103, R104, R1101, R1201, R301, R601, R701, R801, R901",0805,11,2k2,
"R1002, R1102, R1202, R602, R702, R802, R902",0805,7,390,
"R1401, R1504, R207, R312, R313, R314, R315, R401",0402,8,10k,
"R1501, R1502, R202, R203",0402,4,27R,
"R1503, R205",0805,2,0R,
"R1505, R304, R305, R306, R307, R308, R310, R311",0402,8,100K,
"R201, R204",0805,2,1k,
"R302, R303",0402,2,5.1K,
R309,0402,1,12k,
"U1001, U1101, U1201, U601, U701, U801, U901",SOP-4_4.4x4.3mm_P2.54mm,7,GAQY221S,C7435105
"U1401, U401",SOT-23-5,2,MT9700,C89855
"U1501, U201",RP2040-QFN-56,2,RP2040,C2040
"U1502, U203",SOIC-8_5.23x5.23mm_P1.27mm,2,W25Q32JVS,C179173
U1503,TSSOP-20_4.4x6.5mm_P0.65mm,1,TXB0108PW,C53406
"U202, U301",SOT-223-3_TabPin2,2,AMS1117-3.3,C6186
U302,Texas_RHH0036C_VQFN-36-1EP_6x6mm_P0.5mm_EP4.4x4.4mm_ThermalVias,1,USB2514B_Bi,C16251
X201,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,Oscillator-12MHz,C2831468
Y301,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,C70590
